date,total,bad
2022-02-28,88438,5587
2022-03-01,249158,19756
2022-03-02,271843,41645
2022-03-03,253878,34860
2022-03-04,325991,18341
2022-03-05,362657,23610
2022-03-06,388617,22415
2022-03-07,396893,16311
2022-03-08,349550,14043
2022-03-09,312434,16019
2022-03-10,299519,11917
2022-03-11,275723,11108
2022-03-12,267156,10364
2022-03-13,303262,12494
2022-03-14,278625,9728
2022-03-15,319353,10981
2022-03-16,284373,9906
2022-03-17,308999,11980
2022-03-18,328066,18623
2022-03-19,315482,16146
2022-03-20,303276,14037
2022-03-21,340500,12001
2022-03-22,283025,11850
2022-03-23,277357,8322
2022-03-24,253833,8377
2022-03-25,293496,8949
2022-03-26,286461,8643
2022-03-27,512675,22650
2022-03-29,247561,13856
2022-03-30,235008,10357
2022-03-31,230632,7696
