date,total,en,withoutua,tags,tagsen
2022-05-02,329516,220551,217154,31,16
2022-05-03,307057,212825,209090,34,13
2022-05-04,384278,252027,248307,16,7
2022-05-05,1046236,719487,707754,52,20
2022-05-08,371726,243631,239173,20,12
2022-05-09,399145,261859,257919,25,11
2022-05-10,352564,239133,235484,32,13
2022-05-11,310075,212334,209074,20,4
2022-05-12,302490,203767,200724,15,7
2022-05-13,280219,185933,183271,8,3
2022-05-14,326229,204544,201195,12,8
2022-05-15,420237,216995,213061,24,11
2022-05-16,387912,258311,254605,9,3
2022-05-17,337868,225535,222798,25,9
2022-05-18,319210,209928,207158,13,4
2022-05-19,272231,180688,178072,18,2
2022-05-20,229813,155848,153085,12,11
2022-05-21,211623,141920,139502,11,4
2022-05-22,197877,126592,124649,18,2
2022-05-23,245001,160330,158050,11,2
2022-05-24,246600,165731,162660,29,3
2022-05-25,231699,164204,161589,11,6
2022-05-26,218506,156337,152911,15,5
2022-05-27,238287,164694,161797,3,1
2022-05-28,229633,157949,155429,5,2
2022-05-29,219914,144530,141784,14,14
2022-05-30,233967,156596,153714,19,15
2022-05-31,217926,146809,144314,17,14
2022-06-01,268534,174954,172393,25,22
2022-06-02,214444,139630,137165,11,5
2022-06-03,229469,157440,154730,5,1
2022-06-04,238102,170745,168684,5,3
2022-06-05,215138,148446,146210,13,9
2022-06-06,705775,494618,487718,12,9
2022-06-09,264647,189542,186933,16,8
2022-06-10,259180,182985,180461,16,9
2022-06-11,220393,152900,150469,4,3
2022-06-12,216447,152429,150114,6,0
2022-06-13,218346,153143,150289,3,3
2022-06-14,218529,148569,145880,8,7
2022-06-15,215937,148745,145993,9,6
2022-06-16,288847,166843,164065,15,12
2022-06-17,261924,154013,151645,7,3
2022-06-18,205185,131380,129626,3,1
2022-06-19,178804,118227,116399,7,5
2022-06-20,188219,130093,127689,6,6
2022-06-21,185679,121863,119986,3,2
2022-06-22,195979,137419,135040,11,9
2022-06-23,217374,151930,149375,5,4
2022-06-24,203939,133137,131213,2,1
2022-06-25,173689,117331,115547,8,6
2022-06-26,213161,143443,140139,32,26
2022-06-27,271100,164978,159086,16,13
2022-06-28,284429,157826,154646,6,3
2022-06-29,282156,148249,145144,33,29
2022-06-30,219794,124434,122512,11,9
2022-07-01,195178,116588,113992,7,6
2022-07-02,166843,106861,104998,13,12
2022-07-03,155655,98287,96779,0,0
2022-07-04,181360,121824,119881,8,2
2022-07-05,171467,114984,113153,8,5
2022-07-06,160630,109054,107365,1,1
2022-07-07,172111,118497,116596,12,6
2022-07-08,176888,111884,110327,7,2
2022-07-09,156926,105698,104224,7,2
2022-07-10,178935,121766,120134,17,16
2022-07-11,231084,155721,153538,2,2
2022-07-12,188178,114379,112634,2,0
2022-07-13,164068,104768,102712,1,1
2022-07-14,248679,156817,149073,3,1
2022-07-15,218505,137401,132246,0,0
2022-07-16,161567,97873,95749,5,1
2022-07-17,158643,106125,104325,8,6
2022-07-18,162852,102403,100551,3,2
2022-07-19,159401,103285,101573,2,2
2022-07-20,172951,111105,108584,1,0
2022-07-21,149202,93172,91496,4,3
2022-07-22,135141,88933,87334,3,2
2022-07-23,130283,82003,79933,4,3
2022-07-24,113175,71837,70496,0,0
2022-07-25,120799,78678,77156,3,0
2022-07-26,119682,76187,74444,4,3
2022-07-27,147755,89943,88339,6,4
2022-07-28,168222,93770,91861,8,4
2022-07-29,221482,135435,126731,9,4
2022-07-30,167102,109677,105481,4,4
2022-07-31,186158,107138,104081,2,2
2022-08-01,191104,111211,108305,7,4
2022-08-02,285907,157905,155082,9,7
2022-08-03,299545,137253,134658,1,0
2022-08-04,179071,107324,104486,7,4
2022-08-05,159263,100539,96964,7,5
2022-08-06,204678,129535,126845,5,2
2022-08-07,262922,157899,155647,2,0
2022-08-08,68386,38685,37315,2,2
2022-08-09,38795,19178,18162,1,1
2022-08-10,48973,26959,25974,4,1
2022-08-11,51537,27172,25564,2,0
2022-08-12,59745,36425,35351,6,0
2022-08-13,40988,22022,21213,1,0
2022-08-14,33151,16166,15330,1,1
2022-08-15,39104,19122,17968,0,0
2022-08-16,44767,22004,20863,1,1
2022-08-17,55634,27768,26317,0,0
2022-08-18,48066,22991,21469,3,0
2022-02-24,1229349,723256,719665,66,33
2022-02-27,357018,227513,225854,59,41
2022-02-28,237787,152009,149671,37,31
2022-02-28,140384,89604,88438,35,21
2022-03-01,409279,253648,249158,93,62
2022-03-02,417031,274540,271843,10011,9135
2022-03-03,395772,258637,253878,6753,6287
2022-03-04,480290,336626,325991,1552,1296
2022-03-05,546780,369182,362657,1595,1264
2022-03-06,566767,396252,388617,1436,1136
2022-03-07,567745,402680,396893,1229,931
2022-03-08,519385,353643,349550,784,578
2022-03-09,493857,317359,312434,654,524
2022-03-10,460075,303769,299519,478,365
2022-03-11,410400,279541,275723,423,300
2022-03-12,397945,270882,267156,468,312
2022-03-13,452016,307415,303262,356,230
2022-03-14,428539,282420,278625,353,245
2022-03-15,484221,323413,319353,375,258
2022-03-16,440897,288284,284373,263,196
2022-03-17,468632,313264,308999,307,219
2022-03-18,468098,332819,328066,299,209
2022-03-19,442668,319824,315482,362,208
2022-03-20,423345,307796,303276,191,123
2022-03-21,480519,345589,340500,240,173
2022-03-22,413122,287670,283025,204,134
2022-03-23,412455,282469,277357,180,119
2022-03-24,377813,258060,253833,162,99
2022-03-25,424127,298401,293496,213,146
2022-03-26,411296,290989,286461,193,127
2022-03-27,768164,520599,512675,414,301
2022-03-29,364124,251751,247561,103,70
2022-03-30,348864,239541,235008,52,36
2022-03-31,344515,234857,230632,51,36
