date,total,bad
2022-03-05,362657,14225
2022-03-06,388617,14482
2022-03-07,396893,10922
2022-03-08,349550,10688
2022-03-09,312434,12189
2022-03-10,299519,9605
2022-03-11,275723,7090
2022-03-12,267156,7423
2022-03-13,303262,9073
2022-03-14,278625,8430
2022-03-15,319353,7535
2022-03-16,284373,6127
2022-03-17,308999,6723
2022-03-18,328066,8333
2022-03-19,315482,8044
2022-03-20,303276,8254
2022-03-21,340500,8506
2022-03-22,283025,6000
2022-03-23,277357,5012
2022-03-24,253833,5075
2022-03-25,293496,5710
2022-03-26,286461,6109
2022-03-27,512675,12335
2022-03-29,247561,5417
2022-03-30,235008,4997
2022-03-31,230632,5581
