date,total,en,withoutua,tags,tagsen
2022-04-12,395296,275244,269599,500,175
2022-04-13,388280,278091,272239,803,225
2022-04-14,366631,246272,242259,441,168
2022-04-15,358050,243157,238586,350,125
2022-04-16,332860,228478,223640,369,145
2022-04-17,325909,223682,218984,445,164
2022-04-18,335869,232508,227863,511,211
2022-04-19,416516,302692,297369,560,173
2022-04-20,397197,273342,269065,390,137
2022-04-21,361151,261202,256821,462,137
2022-04-22,343781,240164,236323,457,116
2022-04-23,362024,254307,249859,426,148
2022-04-24,349015,222391,218873,389,164
2022-04-25,317674,215236,211337,414,187
2022-04-26,343356,235054,230353,403,142
2022-04-27,318809,234348,230241,358,145
2022-04-28,315178,214152,210087,500,222
2022-04-29,328562,221971,218324,356,139
2022-04-30,328075,225240,221612,372,144
2022-05-01,351887,244670,241404,544,234
2022-05-02,329516,220551,217154,449,214
2022-05-03,307057,212825,209090,296,132
2022-05-04,384278,252027,248307,290,139
2022-05-05,1046236,719487,707754,1027,360
2022-05-08,371726,243631,239173,343,124
2022-05-09,399145,261859,257919,391,140
2022-05-10,352564,239133,235484,374,183
2022-05-11,310075,212334,209074,302,127
2022-05-12,302490,203767,200724,246,99
2022-05-13,280219,185933,183271,204,93
2022-05-14,326229,204544,201195,235,118
2022-05-15,420237,216995,213061,415,174
2022-05-16,387912,258311,254605,316,96
2022-05-17,337868,225535,222798,437,153
2022-05-18,319210,209928,207158,349,159
2022-05-19,272231,180688,178072,225,73
2022-05-20,229813,155848,153085,236,116
2022-05-21,211623,141920,139502,323,171
2022-05-22,197877,126592,124649,223,95
2022-05-23,245001,160330,158050,214,104
2022-05-24,246600,165731,162660,246,119
2022-05-25,231699,164204,161589,208,98
2022-05-26,218506,156337,152911,162,54
2022-05-27,238287,164694,161797,237,98
2022-05-28,229633,157949,155429,232,118
2022-05-29,219914,144530,141784,209,104
2022-05-30,233967,156596,153714,218,81
2022-05-31,217926,146809,144314,253,113
2022-06-01,268534,174954,172393,161,82
2022-06-02,214444,139630,137165,167,77
2022-06-03,229469,157440,154730,191,55
2022-06-04,238102,170745,168684,192,82
2022-06-05,215138,148446,146210,173,61
2022-06-06,705775,494618,487718,435,174
2022-06-09,264647,189542,186933,155,89
2022-06-10,259180,182985,180461,174,103
2022-06-11,220393,152900,150469,121,43
2022-06-12,216447,152429,150114,106,35
2022-06-13,218346,153143,150289,296,106
2022-06-14,218529,148569,145880,137,59
2022-06-15,215937,148745,145993,186,96
2022-06-16,288847,166843,164065,173,61
2022-06-17,261924,154013,151645,201,60
2022-06-18,205185,131380,129626,415,184
2022-06-19,178804,118227,116399,311,65
2022-06-20,188219,130093,127689,420,69
2022-06-21,185679,121863,119986,227,102
2022-06-22,195979,137419,135040,333,188
2022-06-23,217374,151930,149375,248,167
2022-06-24,203939,133137,131213,165,69
2022-06-25,173689,117331,115547,147,60
2022-06-26,213161,143443,140139,184,94
2022-06-27,271100,164978,159086,254,134
2022-06-28,284429,157826,154646,251,85
2022-06-29,282156,148249,145144,352,187
2022-06-30,219794,124434,122512,255,104
2022-07-01,195178,116588,113992,238,120
2022-07-02,166843,106861,104998,227,132
2022-07-03,155655,98287,96779,176,50
2022-07-04,181360,121824,119881,229,95
2022-07-05,171467,114984,113153,230,97
2022-07-06,160630,109054,107365,179,73
2022-07-07,172111,118497,116596,166,84
2022-07-08,176888,111884,110327,131,53
2022-07-09,156926,105698,104224,141,35
2022-07-10,178935,121766,120134,263,70
2022-07-11,231084,155721,153538,755,116
2022-07-12,188178,114379,112634,259,78
2022-07-13,164068,104768,102712,169,73
2022-07-14,248679,156817,149073,187,94
2022-07-15,218505,137401,132246,135,68
2022-07-16,161567,97873,95749,161,65
2022-07-17,158643,106125,104325,274,102
2022-07-18,162852,102403,100551,205,64
2022-07-19,159401,103285,101573,262,47
2022-07-20,172951,111105,108584,136,68
2022-07-21,149202,93172,91496,189,116
2022-07-22,135141,88933,87334,203,111
2022-07-23,130283,82003,79933,178,89
2022-07-24,113175,71837,70496,273,209
2022-07-25,120799,78678,77156,175,88
2022-07-26,119682,76187,74444,281,94
2022-07-27,147755,89943,88339,2378,746
2022-07-28,168222,93770,91861,1290,531
2022-07-29,221482,135435,126731,1540,1316
2022-07-30,167102,109677,105481,561,383
2022-07-31,186158,107138,104081,604,169
2022-08-01,191104,111211,108305,435,111
2022-08-02,285907,157905,155082,544,375
2022-08-03,299545,137253,134658,427,184
2022-08-04,179071,107324,104486,1526,682
2022-08-05,159263,100539,96964,1346,447
2022-08-06,204678,129535,126845,863,379
2022-08-07,262922,157899,155647,691,239
2022-08-08,68386,38685,37315,265,142
2022-08-09,38795,19178,18162,106,42
2022-08-10,48973,26959,25974,171,53
2022-08-11,51537,27172,25564,101,38
2022-08-12,59745,36425,35351,120,46
2022-08-13,40988,22022,21213,93,42
2022-08-14,33151,16166,15330,114,46
2022-08-15,39104,19122,17968,128,54
2022-08-16,44767,22004,20863,94,42
2022-08-17,55634,27768,26317,95,49
2022-08-18,48066,22991,21469,92,46
2022-02-24,1229349,723256,719665,101,55
2022-02-27,357018,227513,225854,79,54
2022-02-28,237787,152009,149671,83,61
2022-02-28,140384,89604,88438,68,45
2022-03-01,409279,253648,249158,185,125
2022-03-02,417031,274540,271843,10067,9175
2022-03-03,395772,258637,253878,6819,6320
2022-03-04,480290,336626,325991,1653,1344
2022-03-05,546780,369182,362657,1793,1393
2022-03-06,566767,396252,388617,1775,1410
2022-03-07,567745,402680,396893,1379,1016
2022-03-08,519385,353643,349550,905,643
2022-03-09,493857,317359,312434,755,580
2022-03-10,460075,303769,299519,630,466
2022-03-11,410400,279541,275723,547,376
2022-03-12,397945,270882,267156,567,377
2022-03-13,452016,307415,303262,492,300
2022-03-14,428539,282420,278625,520,326
2022-03-15,484221,323413,319353,564,380
2022-03-16,440897,288284,284373,399,285
2022-03-17,468632,313264,308999,501,342
2022-03-18,468098,332819,328066,437,286
2022-03-19,442668,319824,315482,722,292
2022-03-20,423345,307796,303276,465,241
2022-03-21,480519,345589,340500,538,352
2022-03-22,413122,287670,283025,517,290
2022-03-23,412455,282469,277357,423,234
2022-03-24,377813,258060,253833,501,211
2022-03-25,424127,298401,293496,469,275
2022-03-26,411296,290989,286461,445,249
2022-03-27,768164,520599,512675,1192,746
2022-03-29,364124,251751,247561,405,235
2022-03-30,348864,239541,235008,221,119
2022-03-31,344515,234857,230632,461,356
